target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
3.53,3.5300004,2.762808,2.2,3.498,3.4979997,2.2683651,2.2,3.53,3.53,3.0879335,2.2,3.658,3.658,3.3003972,2.2,3.497,3.4970002,3.461571,2.2,3.515,3.5149999,3.3141716,2.2,4.299,4.299,3.220189,2.2
6.507,6.5069995,6.3818974,5.5,6.595,6.5950003,5.8484025,5.5,6.325,6.325,6.6428204,5.5,6.236,6.236,6.6712995,5.5,7.921,7.921,6.8091545,5.5,8.476,8.475999,6.5487604,5.5,8.63,8.63,6.7250543,5.5
9.131,9.1310005,9.261614,8.4,9.407,9.407,8.464349,8.4,9.117,9.117001,9.581853,8.4,9.379,9.379,9.21726,8.4,10.127,10.127,9.193827,8.4,10.124,10.124,9.312715,8.4,10.692,10.692,9.246599,8.4
13.37,13.369999,9.734975,13.4,13.481,13.481,8.642997,13.4,12.886,12.886,9.513243,13.4,13.557,13.557,9.358139,13.4,15.367,15.367,9.520451,13.4,15.964,15.963999,9.743446,13.4,16.181,16.181,9.923825,13.4
5.942,5.942,4.9598475,5.7,6.081,6.081,4.047942,5.7,6.096,6.0960007,5.1083,5.7,6.175,6.175,5.433165,5.7,7.165,7.1650004,5.470756,5.7,7.156,7.156,5.3037276,5.7,7.688,7.688,5.404343,5.7
2.495,2.4950001,3.4864774,2.1,2.547,2.547,2.8539553,2.1,2.518,2.518,3.8011858,2.1,2.598,2.5980003,4.3242893,2.1,4.066,4.066,4.2574463,2.1,4.208,4.208,3.8357563,2.1,4.483,4.483,3.8511696,2.1
1.654,1.6540003,2.0789409,1.2,1.588,1.5879998,2.0216758,1.2,1.581,1.5810001,2.6688724,1.2,1.646,1.6459999,3.642019,1.2,3.459,3.4590003,3.5153334,1.2,3.497,3.497,3.052039,1.2,3.909,3.9090002,2.8935444,1.2
0.477,0.47699997,-0.9649565,-0.1,0.613,0.613,-0.108666286,-0.1,0.751,0.75100017,0.14427255,-0.1,0.671,0.671,1.5918281,-0.1,2.145,2.145,1.0161262,-0.1,2.376,2.376,0.049581084,-0.1,2.63,2.63,0.19923685,-0.1
-0.777,-0.77700007,-0.51505446,-1.4,-0.715,-0.71500003,0.26318985,-1.4,-0.643,-0.64300007,0.679233,-1.4,-0.604,-0.6039999,1.7792984,-1.4,0.908,0.908,1.3709809,-1.4,1.035,1.0349998,0.5487262,-1.4,1.563,1.563,0.75201946,-1.4
1.983,1.9830003,-0.18177263,1.3,2.034,2.034,0.4028821,1.3,1.978,1.9779999,0.7558871,1.3,2.025,2.0249999,1.5484847,1.3,3.18,3.1800003,1.4687983,1.3,3.287,3.2869995,0.7581248,1.3,3.541,3.5410001,0.77183986,1.3
1.408,1.4079999,1.90516,0.6,1.291,1.2909997,1.8441012,0.6,1.221,1.2209998,2.6815042,0.6,1.306,1.3060001,2.7914703,0.6,2.753,2.7530003,2.8802717,0.6,2.961,2.9609997,2.4202888,0.6,3.128,3.1280003,2.0817907,0.6
11.423,11.423,10.341654,11.0,12.193,12.193,9.927947,11.0,11.333,11.333001,10.821894,11.0,11.989,11.989,10.144143,11.0,13.838,13.838,9.640439,11.0,14.973,14.973,10.4571295,11.0,15.121,15.121,9.231403,11.0
19.338,19.337997,12.625608,19.8,20.171,20.171,11.346797,19.8,18.253,18.253,12.292407,19.8,20.72,20.72,11.529992,19.8,22.335,22.335,10.958589,19.8,24.373,24.373001,11.847561,19.8,22.03,22.03,11.535847,19.8
11.417,11.417,7.4200916,12.1,11.701,11.701,6.382581,12.1,11.119,11.119001,7.479011,12.1,11.297,11.297001,7.7940173,12.1,12.363,12.363,7.9255147,12.1,12.799,12.798999,7.253981,12.1,12.403,12.402999,7.486352,12.1
4.245,4.245,2.5440695,3.7,4.324,4.324,2.511301,3.7,4.397,4.3969994,3.4139512,3.7,4.232,4.2320004,3.7877018,3.7,5.711,5.7109995,4.204766,3.7,5.711,5.711,3.4157882,3.7,5.933,5.9329996,3.308875,3.7
0.108,0.1079999,-0.54083383,-0.1,0.25,0.24999999,0.58987546,-0.1,0.327,0.3270001,0.7163015,-0.1,0.209,0.20899998,2.4401023,-0.1,2.222,2.222,2.000444,-0.1,2.343,2.3430004,0.88182366,-0.1,3.12,3.1200004,0.8804513,-0.1
-1.15,-1.15,-1.5995439,-1.6,-1.203,-1.2030001,-0.7569446,-1.6,-1.221,-1.2209998,-0.24359733,-1.6,-1.354,-1.354,1.1841779,-1.6,0.788,0.7879999,0.76355475,-1.6,0.919,0.91899997,-0.36758772,-1.6,1.332,1.332,-0.28179422,-1.6
-1.581,-1.581,-1.99546,-2.1,-1.841,-1.8409998,-1.1961266,-2.1,-1.361,-1.3610001,-0.28669485,-2.1,-1.705,-1.705,0.9214128,-2.1,0.487,0.48700002,1.1148092,-2.1,0.42,0.42000002,-0.5447557,-2.1,1.103,1.1029999,-0.25172353,-2.1
-0.268,-0.26799998,-1.8179044,-1.1,-0.217,-0.21699993,-1.3648081,-1.1,-0.088,-0.088,-0.39108184,-1.1,-0.271,-0.27100006,0.3578499,-1.1,1.343,1.343,1.2765853,-1.1,1.189,1.1890001,-0.51827425,-1.1,1.818,1.818,-0.13753371,-1.1
-0.397,-0.39700007,-1.5442414,-1.1,-0.413,-0.41300008,-1.3163469,-1.1,-0.401,-0.4009999,-0.23684268,-1.1,-0.409,-0.4090001,0.2764958,-1.1,1.306,1.306,0.7749618,-1.1,1.291,1.2910001,-0.51586616,-1.1,1.938,1.938,-0.5290136,-1.1
0.082,0.08199996,2.7944129,-0.8,0.008,0.007999995,2.8854182,-0.8,0.292,0.29199997,4.13693,-0.8,0.225,0.22500004,4.0707917,-0.8,1.708,1.7079998,4.8408895,-0.8,1.668,1.6679999,3.8528461,-0.8,2.378,2.3780003,3.1495347,-0.8
14.337,14.337,10.199328,13.2,12.874,12.874001,9.34992,13.2,13.383,13.383,10.351656,13.2,12.425,12.425001,9.772049,13.2,16.874,16.874,9.541647,13.2,17.543,17.543,10.270342,13.2,16.394,16.394,8.845122,13.2
13.548,13.548,9.717355,13.1,13.786,13.786001,8.46419,13.1,14.113,14.113001,9.750198,13.1,14.526,14.526,9.503576,13.1,14.291,14.291,9.021861,13.1,15.42,15.42,9.31579,13.1,15.484,15.484,8.897178,13.1
