,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
74,74,74,74,74,74,74,3.784,3.784,21.056648,2.5,8.518,8.518,16.422728,7.3,8.364,8.364,17.104237,6.7,13.318,13.318001,15.252341,12.5,12.385,12.385,16.418722,12.5,9.455,9.455001,19.837418,8.8,23.776,23.776,19.192623,23.7
75,75,75,75,75,75,75,10.519,10.519,16.2362,8.6,11.458,11.458001,15.855732,9.7,32.232,32.232,19.747719,29.7,2.73,2.73,13.975791,1.8,15.976,15.975999,18.59897,14.8,24.969,24.969002,19.594225,27.8,14.243,14.243001,16.321468,13.3
76,76,76,76,76,76,76,7.434,7.4340005,18.358868,6.3,20.741,20.741,17.136936,18.6,17.968,17.968,17.04606,17.7,15.939,15.939,16.11215,14.3,23.141,23.141,14.557053,24.6,19.007,19.007002,18.346607,17.7,16.181,16.181,19.622112,13.4
77,77,77,77,77,77,77,14.002,14.001999,14.48219,12.4,18.38,18.38,25.537601,17.5,6.58,6.58,12.328015,5.5,25.632,25.631998,15.597275,25.1,22.462,22.461998,19.626768,22.0,23.728,23.728003,16.07318,20.7,16.123,16.123,13.944326,14.6
78,78,78,78,78,78,78,14.223,14.223,17.813808,13.8,13.002,13.002001,16.455513,12.0,23.955,23.955,24.089756,22.2,22.748,22.748,19.599066,20.0,20.674,20.674,15.272423,19.4,18.143,18.143,12.496469,17.2,12.095,12.095001,13.305506,10.9
79,79,79,79,79,79,79,16.074,16.074,11.289293,15.9,4.066,4.066,20.285343,3.1,10.695,10.695002,13.785704,10.4,18.949,18.949,20.845737,18.1,15.783,15.783,17.676392,15.3,18.824,18.824001,16.368475,16.3,16.141,16.141,18.442602,15.2
80,80,80,80,80,80,80,18.157,18.157,18.91477,17.2,13.127,13.127,13.226733,12.3,4.6,4.6,14.1100855,3.9,18.062,18.062002,16.589764,17.0,25.889,25.889,17.839247,21.9,16.67,16.67,16.858236,15.8,17.653,17.652998,12.123535,16.7
81,81,81,81,81,81,81,15.167,15.167,13.938785,14.4,15.334,15.334001,16.526918,14.2,6.258,6.258,15.219725,5.6,13.105,13.105,17.22933,12.4,4.377,4.377,21.691526,2.9,15.051,15.051,20.285597,14.3,28.413,28.413,15.665463,28.6
82,82,82,82,82,82,82,26.103,26.102999,19.580519,26.4,18.347,18.347,23.557325,17.2,13.364,13.364,15.954767,12.8,13.47,13.469999,15.996042,12.3,20.446,20.446,9.528772,18.6,15.352,15.352,16.094215,14.6,21.112,21.112,18.496153,20.4
83,83,83,83,83,83,83,18.583,18.583,17.493599,19.9,15.493,15.493001,16.479311,14.8,17.882,17.882,21.338802,17.0,14.892,14.892,14.474741,14.1,14.217,14.217,17.221254,13.7,27.547,27.547,21.384449,25.9,13.153,13.153,16.100859,12.5
